Plot_ID,vol_cubft,ba_ac,crd,elev_min_3p2808plus_75FEET,elev_max_3p2808plus_75FEET,elev_ave_3p2808plus_75FEET,elev_stddev_3p2808plus_75FEET,elev_CV_3p2808plus_75FEET,elev_IQ_3p2808plus_75FEET,elev_AAD_3p2808plus_75FEET,elev_P01_3p2808plus_75FEET,elev_P05_3p2808plus_75FEET,elev_P10_3p2808plus_75FEET,elev_P20_3p2808plus_75FEET,elev_P25_3p2808plus_75FEET,elev_P30_3p2808plus_75FEET,elev_P40_3p2808plus_75FEET,elev_P50_3p2808plus_75FEET,elev_P60_3p2808plus_75FEET,elev_P70_3p2808plus_75FEET,elev_P75_3p2808plus_75FEET,elev_P80_3p2808plus_75FEET,elev_P90_3p2808plus_75FEET,elev_P95_3p2808plus_75FEET,elev_P99_3p2808plus_75FEET,First_cover_above6p5616_75FEET,all_cover_above6p5616_75FEET,all_1st_cover_above6p5616_75FEET,First_cover_above_mean_75FEET,all_cover_above_mean_75FEET,all_1st_cover_above_mean_75FEET
102_A06,30180.8,786.5448573,143.5504197,3.31,269.82,133.8868,71.8615,0.5367,126.55,61.5495,4.19,13.342,31.236,50.04,69.97,92.62,119.674,141.24,163.142,186.02,196.52,203.636,226.05,235.544,252.0848,97.2564,94.0119,164.8691,59.4134,51.3037,89.9716
101_24,17652.4,383.1726445,64.38352165,3.74,283.44,152.8986,55.6424,0.3639,78.67,44.7623,14.264,64.265,85.11,103.86,113.58,123.12,138.36,152.55,165.19,183.27,192.25,203.5,227.63,245.401,271.82,99.2094,97.5053,175.4098,60.2837,48.5555,87.3503
101_01,32286.4,858.7517476,153.3248576,3.33,243.74,154.071,58.0538,0.3768,77.7675,46.9579,9.4882,29.2005,62.7,95.508,118.9225,141.35,156.404,169.09,183.05,193.127,196.69,203.232,214.97,222.8025,237.9859,99.398,96.3511,178.154,72.912,59.6446,110.2834
102_01,20586.4,385.9909149,66.93598438,3.29,276.57,136.4094,75.8027,0.5557,134.97,65.5225,4.8948,9.201,15.74,37.588,60.37,97.37,139.872,160.77,175.612,189.348,195.34,203.03,221.86,232.419,253.7556,97.194,92.0051,173.1495,70.8273,57.8663,108.9018
93_11,30872,632.6958266,90.23777654,3.29,251.35,135.9301,71.8648,0.5287,123.945,63.7583,4.511,17.9525,25.03,53.4,70.5975,90.815,125.62,161.26,174.55,188.16,194.5425,203.02,217.48,227.235,244.3,97.9079,94.952,160.6401,63.8876,56.3031,95.2537
102_11,23502.4,674.8533827,85.5808145,3.32,232.22,146.7078,70.0677,0.4776,64.845,55.4596,3.7569,5.9,14.966,64.602,131.7325,144.597,160.25,169.205,176.758,190.416,196.5775,202.886,217.362,224.6375,228.5862,86.873,86.9192,129.7759,67.058,63.331,94.5571
102_04,12827.4,494.731474,94.35269639,3.29,283.29,143.1185,63.1443,0.4412,90.59,51.7463,5.1126,18.9985,51.686,94.464,104.98,111.83,127.112,139.66,160.61,189.139,195.57,202.758,222.814,236.5605,251.7674,96.2518,93.7573,154.0846,52.8832,45.7018,75.1081
103_A13,10918.4,255.1501238,50.53727382,3.48,231.74,135.6358,77.068,0.5682,165.56,69.116,5.46,10.922,14.56,29.29,31.13,88.12,153.96,174.27,182.63,191.88,196.69,202.38,212.892,219.05,226.5,97.5163,93.4778,156.4379,66.9608,60.4765,101.2092
101_07,29811.2,570.3400111,99.27731824,3.39,235.96,162.3753,45.9641,0.2831,58.8525,36.5861,19.37,71.324,92.645,130.08,139.4175,143.33,157.41,170.535,183.3,193,198.27,202.11,212.02,219.52,228.7432,99.9418,99.6184,156.2344,67.9468,58.0749,91.0806
101_13,29427.2,450.0314095,69.89148657,3.29,231.02,156.8945,58.6772,0.374,57.61,44.4306,6.94,17.03,29.948,127.172,139.96,151.97,164.462,176.5,184.88,193.38,197.57,201.88,210.69,216.05,222.63,99.3138,96.6855,141.3691,77.2219,64.287,93.9975
101_03,38051.2,769.5497135,139.4184521,3.55,262.95,151.7912,53.0522,0.3495,78.9125,43.4895,7.8067,55.9555,80.01,107.516,113.52,125.704,140.934,156.02,172.728,187.44,192.4325,201.678,217.627,225.33,252.7538,99.4683,96.7681,176.2628,64.3373,51.543,93.8853
103_03,27713.6,781.7582918,130.7045562,3.29,273.57,112.1111,78.0398,0.6961,141.955,69.5128,4.0832,8.97,20.192,37.27,44.425,53.09,70.52,88.01,126.56,170.898,186.38,201.604,225.338,238.818,266.0202,84.1621,82.5727,119.8209,36.0358,36.024,52.2743
